"","Type","Play","Character","lines","words"
"1","Comedy","Cymbeline","",1,7
"2","Comedy","As you Like it","a Lord",1,4
"3","Tragedy","Coriolanus","a Patrician",3,15
"4","Comedy","Taming of the Shrew","a Player",4,32
"5","Tragedy","Titus Andronicus","Aaron",356,2883
"6","History","Richard II","Abbot",10,73
"7","History","Henry VIII","Abergavenny",18,116
"8","Comedy","Measure for Measure","Abhorson",19,144
"9","Tragedy","Romeo and Juliet","Abraham",5,24
"10","Tragedy","Troilus and Cressida","Achilles",190,1351
"11","Comedy","As you Like it","Adam",65,517
"12","Comedy","The Tempest","Adrian",12,64
"13","Comedy","A Comedy of Errors","Adriana",276,2147
"14","Comedy","Loves Labours Lost","Adriano De Armado",268,1981
"15","Tragedy","Coriolanus","Aedile",16,83
"16","Comedy","A Comedy of Errors","Aegeon",147,1128
"17","Comedy","A Comedy of Errors","Aemelia",73,569
"18","Tragedy","Titus Andronicus","Aemilius",21,157
"19","Tragedy","Troilus and Cressida","Aeneas",145,1068
"20","Tragedy","Troilus and Cressida","Agamemnon",196,1436
"21","Tragedy","Antony and Cleopatra","Agrippa",61,373
"22","Tragedy","Troilus and Cressida","Ajax",84,552
"23","Tragedy","King Lear","Albany",160,1079
"24","Tragedy","Timon of Athens","Alcibiades",163,1204
"25","History","Henry VI Part 1","Alencon",49,368
"26","Tragedy","Troilus and Cressida","Alexander",33,264
"27","Tragedy","Antony and Cleopatra","Alexas",31,210
"28","History","Henry v","Alice",27,170
"29","Comedy","A Midsummer Nights Dream","all",2,12
"30","Comedy","Alls Well that Ends Well","all",2,15
"31","Tragedy","Antony and Cleopatra","all",10,32
"32","Tragedy","Coriolanus","all",17,74
"33","Comedy","Cymbeline","all",1,2
"34","Tragedy","Hamlet","all",4,11
"35","History","Henry v","all",2,2
"36","History","Henry VI Part 1","all",1,8
"37","History","Henry VI Part 2","all",14,88
"38","History","Henry VI Part 3","all",1,5
"39","History","Henry VIII","all",1,2
"40","Tragedy","Julius Caesar","all",10,56
"41","Tragedy","Macbeth","all",26,149
"42","Comedy","Merchant of Venice","all",1,3
"43","Comedy","Merry Wives of Windsor","all",1,7
"44","Tragedy","Othello","all",2,5
"45","Comedy","Pericles","all",3,15
"46","History","Richard II","all",1,1
"47","History","Richard III","all",3,19
"48","Comedy","Taming of the Shrew","all",1,1
"49","Tragedy","Timon of Athens","all",1,4
"50","Tragedy","Titus Andronicus","all",4,32
"51","Tragedy","Troilus and Cressida","all",2,7
"52","Tragedy","Coriolanus","all Citizens",1,7
"53","Tragedy","Coriolanus","all Conspirators",3,22
"54","Tragedy","Timon of Athens","all Ladies",1,4
"55","Tragedy","Timon of Athens","all Lords",1,4
"56","Tragedy","Timon of Athens","all Servants",6,25
"57","Tragedy","Titus Andronicus","all the Goths",1,10
"58","Tragedy","Coriolanus","all the Lords",1,5
"59","Tragedy","Coriolanus","all the People",3,23
"60","Comedy","The Tempest","Alonso",110,790
"61","Comedy","As you Like it","Amiens",37,225
"62","Tragedy","Troilus and Cressida","Andromache",15,117
"63","Comedy","A Comedy of Errors","Angelo",96,664
"64","Comedy","Measure for Measure","Angelo",321,2434
"65","Tragedy","Macbeth","Angus",21,142
"66","History","Henry VIII","Anne",62,424
"67","Comedy","Merry Wives of Windsor","Anne Page",28,187
"68","History","Richard III","Another",1,11
"69","Comedy","A Winters Tale","Antigonus",112,821
"70","Comedy","Pericles","Antiochus",69,495
"71","Comedy","A Comedy of Errors","Antipholus",6,45
"72","Comedy","Merchant of Venice","Antonio",189,1471
"73","Comedy","Much Ado About Nothing","Antonio",55,435
"74","Comedy","The Tempest","Antonio",148,1026
"75","Comedy","Twelfth Night","Antonio",105,812
"76","Comedy","Two Gentlemen of Verona","Antonio",35,271
"77","Tragedy","Julius Caesar","Antony",329,2591
"78","Tragedy","Timon of Athens","Apemantus",248,1873
"79","Tragedy","Romeo and Juliet","Apothecary",7,54
"80","History","Henry IV","Archbishop of York",34,263
"81","History","Richard III","Archbishop of York",12,93
"82","Comedy","A Winters Tale","Archidamus",22,176
"83","Comedy","The Tempest","Ariel",170,1218
"84","Comedy","Loves Labours Lost","Armado",1,3
"85","Comedy","Merchant of Venice","Arragon",65,512
"86","Tragedy","Julius Caesar","Artemidorus",19,146
"87","History","King John","Arthur",120,1001
"88","Comedy","Cymbeline","Arviragus",146,1015
"89","Tragedy","Antony and Cleopatra","Attendant",2,10
"90","Comedy","Cymbeline","Attendant",3,24
"91","Tragedy","Macbeth","Attendant",1,8
"92","Tragedy","Antony and Cleopatra","Attendants",1,3
"93","Comedy","As you Like it","Audrey",18,151
"94","Tragedy","Coriolanus","Aufidius",276,2112
"95","History","King John","Austria",34,242
